random number 0103,random number 1234,random number 1357
13921,4217,7573
3820,15976,14545
7767,12712,13789
4544,7072,13469
9622,12506,3455
372,8981,15798
10755,6660,11893
5123,7720,929
5822,2819,4507
11818,15525,4501
12183,9669,5633
7096,9313,12532
8304,10326,4655
5084,3117,10394
15575,11292,5754
14345,6075,15836
6233,11360,15538
6045,9349,11496
12881,16826,11788
6506,2134,16307
15582,3953,2959
7077,1391,1118
11492,8356,10089
13239,6056,5819
16141,14746,13589
1503,10882,12349
9371,15067,10545
8775,16211,12111
9668,3155,14155
9197,11234,1840
4250,13125,3811
5710,13332,7587
152,13118,12118
5537,14105,15202
8479,12298,4452
8627,1501,15837
2937,9240,4806
10227,14881,12965
14017,1106,11104
9308,11110,15876
7670,8404,6737
15402,50,12378
5844,13812,13780
11615,11342,8916
12827,12745,8236
1685,2888,2000
12925,15421,2576
10143,15809,14346
10506,9684,14064
4039,7680,6304
5125,16603,9197
16353,6514,7503
9353,11076,12679
8234,16547,15869
9536,2218,9620
2217,1669,9134
12955,1380,16101
9110,8678,7018
12395,9843,7994
16626,8476,10053
8248,11916,15794
15406,15807,11973
1034,10938,4846
1715,4125,11849
14229,8496,11010
13982,173,12834
7356,5145,13425
15928,8306,11835
7555,14194,14434
6286,8517,9600
12208,2111,6385
3041,12025,9108
4182,2516,2229
11202,8723,8025
2868,15448,14402
11536,2165,5917
9782,9562,12377
13114,12285,4797
13894,1806,616
12138,1775,13849
16649,4792,3354
10623,14896,2210
3103,15007,8592
13991,5499,8215
1726,4193,16484
11659,2353,15248
333,16161,5360
14329,12711,6471
15435,1865,13427
3114,11051,6921
5293,10820,4952
5146,6015,10111
8635,9173,13550
3805,8157,3833
14015,5375,517
3593,16595,138
14132,14973,13156
10541,1923,15568
15519,5425,5107
2955,9942,7616
16253,16263,10588
16144,6864,6689
6608,5891,3329
2047,12765,7212
1137,2878,305
1139,9667,2227
8506,5393,12091
16503,10874,16211
4104,2763,14393
16199,9731,16685
1155,3219,7890
8693,16295,10620
1132,8150,16511
14239,14772,15110
2424,15553,7180
2045,13009,14000
14031,12477,9543
3018,8888,3634
6302,9846,14524
8417,15764,1110
12831,8895,3326
11474,1803,4940
9202,16227,15715
16305,12750,4859
16530,1646,14868
12522,5610,8732
7145,14768,169
174,9925,359
12964,11554,12048
3341,12053,13595
2687,14891,15673
398,12709,4161
12163,8537,529
14445,2279,12490
9770,9361,15663
3699,11959,4761
14451,15953,9230
15432,13320,13057
4784,2612,10334
1302,1969,14138
16664,8069,6798
2388,3621,1892
2954,12903,8578
1095,13521,6636
14833,15399,16658
9493,8586,4539
891,9094,3575
8110,2732,7278
11116,16178,6800
14274,13296,4756
7949,4071,8109
4933,15361,3948
13770,3006,3291
5266,14969,11520
4196,6849,1438
12636,12393,16530
1655,12035,7120
5729,1980,15162
3410,5345,4746
6927,12199,7069
3939,9926,1260
11013,10935,8553
14450,7171,9399
5803,9948,8774
15243,10328,1231
11786,7520,2498
7992,4647,11088
1158,7583,12353
6420,2094,1487
8291,9071,7497
1336,7441,990
14517,2420,15397
7595,2543,1265
928,15890,741
11858,15378,9757
14571,8690,15474
5272,12681,1471
16393,3663,14074
5398,9895,15695
14293,13746,14116
3988,16764,15557
1894,16719,9486
1576,8451,5252
3542,10642,7169
14770,11870,11072
12741,12100,2625
9330,14879,8761
829,11093,7846
1143,12640,11202
486,8346,11652
9657,8936,9562
11272,11979,15373
3891,15925,16142
14479,16640,16070
8904,6426,2994
8010,16245,3191
7793,10510,16636
3964,4530,2116
9179,10315,2335
11862,14048,14454
3863,13520,5353
14785,3033,1845
10811,1119,6603
4543,14865,1723
5914,8054,1109
13521,15664,1399
10859,2172,10264
13171,9559,3599
14277,15135,5603
1657,16148,2054
12016,9097,7917
11035,8114,5765
16297,5654,3188
14621,13250,15428
11327,6229,915
12558,10971,6097
11446,1446,13028
4292,3690,2106
10817,1545,7521
8256,15965,1658
3505,6261,12570
8863,3629,750
1203,13322,9152
15275,3748,11350
4072,8951,3392
4020,7808,15326
11431,9885,8341
2320,9700,2005
14532,8203,8778
14008,8773,8260
244,9196,13710
1732,9063,13580
9270,3499,1967
1285,10140,8805
11645,12032,13144
4087,4098,10527
7746,2231,13452
6920,6299,10568
5183,3122,16378
15135,7343,11117
3047,908,15629
12972,12485,13608
12161,8166,1853
8582,597,5610
10158,5099,5407
3233,4876,10791
8638,12177,7108
16483,0,4633
16090,14663,14780
10366,10802,12189
4927,2267,5055
10760,7797,584
11830,13555,15859
4527,197,11326
13435,9051,15339
10690,1254,7529
8607,11815,4307
15769,12466,949
232,810,6035
1138,15878,2996
6184,8620,15986
79,10120,7321
11983,15400,14365
588,14317,1848
5937,2107,3970
7039,6504,13417
9541,7728,16214
10472,1123,4337
16470,2010,5972
2732,7295,7713
6821,2064,10843
14185,4351,1333
16713,11313,1022
7365,6064,7158
3217,11351,4584
12435,1055,8452
15679,10995,14470
13634,6041,16207
16228,8313,12001
14457,3495,7871
2736,13841,14180
8785,4510,2976
8905,3673,3001
6274,10898,13501
16656,497,14688
3244,48,3135
7028,8533,2427
7415,389,4975
5653,1503,6028
14659,3713,2896
12598,2399,6421
3959,7780,7859
16215,9433,208
16296,13881,5286
7650,11070,933
11161,14544,7824
2863,509,5904
7825,10572,5476
8508,5164,15482
5367,14806,4046
4772,7458,576
8716,3330,14369
1339,6749,13118
6856,5873,403
2772,4894,8456
6009,6051,2315
9518,1592,11722
16391,11773,7954
14380,12822,7465
7823,8703,3584
8485,3165,1838
14282,15607,9301
6019,10260,13939
2037,12741,12837
11117,402,2035
16800,13883,8099
6481,12033,8937
9880,13309,556
1019,3897,12246
5643,11341,6232
7034,5933,2015
120,4924,14431
5328,2228,1534
6000,16012,393
3061,143,12139
12493,3401,5491
4130,16711,1911
465,10196,12811
13699,14084,13958
6767,11705,8680
13789,8573,15591
13465,8262,8439
4787,13616,13909
3222,8872,13664
2536,7391,14437
7621,8762,1879
12611,14259,16616
11359,1169,6938
10329,2596,4893
7175,3036,16475
9302,7579,7057
8854,16825,6154
3016,8373,9400
5083,12874,649
8523,7027,11370
13203,12316,11215
11029,12807,5332
2076,2105,16700
11534,15806,8302
2114,14343,2231
11372,14724,9873
7147,1914,6294
5205,12653,1121
16647,11726,16443
16668,15691,10863
14894,71,3672
257,5997,15880
12434,9693,712
11230,5468,1783
1456,4582,15365
964,3049,3471
4519,13930,8502
12053,7418,4416
16822,782,8485
8060,15866,3867
16594,10705,2746
13493,1206,13092
10788,10151,14499
13512,12879,12599
9058,14214,14439
9970,3341,15040
7086,12737,16488
15827,1907,9321
5998,2640,14654
1193,13527,235
12607,3854,11586
15403,511,1950
4295,8579,10079
11874,15113,6817
9841,9676,15119
12213,2608,9446
9395,8764,9788
14452,1070,6230
7099,10345,1748
11314,6044,3140
5224,13645,12115
14135,784,1263
8928,7020,10115
1815,12036,7483
12458,13218,16588
2533,4121,16338
14272,2445,7028
8286,6696,873
16184,1329,12462
10325,7055,10736
14964,15913,12955
1327,7716,757
1239,9358,6128
9181,15099,10776
1060,4657,14982
6336,8340,1718
11962,3608,9821
3204,869,7337
806,16766,5215
15383,8159,1409
8981,16160,2640
10123,7152,14626
3010,381,15477
14361,5107,10653
16437,12622,16512
10747,7893,12259
5634,1663,8790
10589,7967,16166
1819,14522,5801
2415,10545,9147
4499,15014,4402
10230,3335,7598
2788,15384,2980
8960,2488,6354
7811,14561,13087
16289,10056,6197
6711,3096,7651
16453,13707,3674
14953,10553,6705
9923,12984,1196
6822,10601,9664
14654,6160,5475
11264,11145,14729
12231,9168,3861
1237,15406,16064
14682,8206,9018
915,12658,5004
2488,4315,4145
16472,10080,2127
5871,4028,11214
15372,4049,9188
11430,1378,1628
3270,3177,9212
2262,15350,15861
6498,4847,5038
1769,10207,5533
5849,2075,10072
14362,11537,11016
14868,4633,16651
8554,6382,15601
5989,3031,9338
6373,5979,10673
15351,14328,15236
12287,9482,10352
13629,9305,1729
8840,9750,451
13269,6282,3552
176,92,2914
4549,16568,16633
6328,7682,13018
9543,6644,3464
13804,6663,13686
5866,15162,9791
1668,15452,8123
11763,7853,16206
8076,4991,7829
10951,4132,11796
7574,10069,6890
8170,15223,13692
14305,6750,16559
5270,11083,2107
366,11802,2635
7017,11706,14299
9363,7147,1132
13810,16760,7833
8836,13734,13505
16329,10912,8882
3363,10867,13179
8762,4855,1246
4786,9812,12708
7197,14019,434
1406,14246,12276
4929,4179,12146
5121,8033,6931
14681,1632,9484
13566,6770,9300
10507,14657,2469
319,9169,15987
5934,10117,7056
13261,6646,11955
14934,11878,15522
12810,6800,6188
12146,15658,10247
5847,10023,2508
13710,7421,1887
2483,1688,7900
2277,6014,11001
7311,493,8425
16077,208,4962
7632,3543,14413
14675,5665,12114
5042,4390,8809
15841,8489,3050
2443,630,759
1146,766,8200
5198,9144,11487
9323,5161,16154
3977,8186,2480
15907,11881,16137
10456,8122,13198
6345,15053,6325
5717,13751,8615
4432,8300,4326
12145,1739,70
5307,11910,1015
14599,11334,6337
3831,8524,8987
14387,3349,11887
10229,8138,5448
6554,14144,1276
9031,12296,13627
8888,5064,6248
16280,6099,7271
6193,4559,4958
11945,15608,747
9200,4770,641
2914,12994,3122
1631,10610,1285
6896,4292,8232
1402,940,14212
10391,2091,14151
15603,10340,15769
5074,9896,4890
15274,12330,11867
5134,8932,9585
160,8199,15227
10833,2078,10946
1241,845,10848
2936,6548,15723
6606,9406,9302
2644,828,7873
573,11180,5193
4751,10547,4465
7617,14819,10496
6462,10566,12781
10460,14413,12471
13002,4776,6088
12336,13804,2310
9779,15375,11626
5368,541,16067
12203,12299,14092
934,16321,3055
4264,11727,513
6950,15926,9294
7874,14237,5676
6261,6182,15897
12330,6079,15976
6272,6786,10583
8412,3679,6554
3568,12682,4116
3791,11789,1834
7993,15031,15121
4247,3498,210
13394,16099,5771
1944,8335,1598
3528,3136,388
1479,16804,5949
7207,11425,9241
9692,3914,4143
11173,13568,9670
11486,9993,14618
1900,2905,11649
10509,11967,3795
11490,4985,4928
14422,4784,9576
1671,13874,11603
6621,16217,11389
14477,1263,10902
8422,1971,2122
6358,8713,7499
9866,12652,2235
3723,4316,345
2003,14222,1174
4025,16179,902
4117,14099,10404
14774,5642,1894
6562,125,11471
12210,10746,13868
4410,882,4587
13922,3326,11545
5574,255,14083
8287,15440,11567
14066,3467,8230
12130,9967,11405
14610,13260,15018
895,1103,10281
8938,8985,4105
13506,8111,16524
12902,3946,5453
13473,11737,4983
4857,8692,6456
6953,16668,14640
4342,9915,1509
4985,13781,5518
9660,3376,3999
7335,10049,4004
5098,15259,595
13455,7345,1993
6714,10351,14699
9744,16691,308
9531,8778,11907
4453,13486,10704
9639,5434,15139
6018,1574,9864
12462,14076,7416
10622,6528,14230
9895,15959,15973
14737,8960,12095
2120,9302,6826
12549,15133,15751
771,14836,7209
11829,16530,16791
1898,4410,4086
4951,6361,3285
10613,12542,2270
6963,15969,9223
11726,6381,3802
3743,4704,10270
3692,29,16799
7242,3266,647
1355,11322,11936
8882,7213,1284
972,2230,5670
2682,4178,4926
212,13595,7885
13569,8867,13997
8878,14730,13367
13001,13303,9247
7696,8898,13031
5595,3695,10847
6100,6167,12813
13138,10978,4810
15131,14538,3888
10203,566,9995
1161,149,16232
2719,7600,11172
7345,14943,5715
5494,6723,3946
12894,5736,5675
9496,7375,8074
3313,13649,4936
10824,13966,12621
7239,5819,14511
16642,8581,7249
4576,3995,10341
16307,13381,4614
10245,9767,1878
15109,2185,7430
2839,16130,5820
4681,720,7468
6218,11445,5349
14854,1459,2572
6155,15514,11099
4370,2795,13493
12326,2966,14361
6340,116,11673
9704,9355,5596
11373,740,3618
11137,9344,11990
13798,16472,6809
7269,11829,6609
6469,6933,300
1951,998,5469
7292,10356,15547
8773,10104,9089
16385,5049,15051
948,15944,7269
4242,7312,7568
11353,14889,1795
2438,1531,2876
6212,12126,14820
7838,5426,3991
2339,12049,8325
11942,11911,16231
8367,4862,16131
1839,2055,8534
7035,15796,13617
6061,8870,16832
7705,2031,10179
14453,13553,637
6901,4796,6882
12973,4893,2881
5269,2623,15807
16380,4667,5752
4284,8336,9934
7941,6010,10734
3186,11579,14927
3784,8695,8926
4856,9417,16528
8951,11428,10181
15374,4259,5062
12160,15122,5546
13496,11771,2311
9729,15292,16350
15026,14748,15042
7597,4070,7742
11700,13135,14282
9872,12901,9409
1294,12226,14417
10680,3188,1381
12877,12686,14425
6829,4403,14057
13924,238,9986
4270,7955,14872
14018,14050,14724
15859,10263,2502
3480,1834,10626
8793,1748,1232
4848,1587,14169
2338,15000,14786
3472,6500,16399
11033,4501,10098
1070,14060,7198
9807,15371,8787
8761,12489,1801
16179,6993,11287
8800,6872,16485
14810,15319,14191
12173,16319,6604
7137,8384,15752
15773,927,4306
6878,13763,5920
13912,15272,4771
15972,11254,4453
7624,12133,9747
684,3821,12796
12808,8753,2582
14983,13542,12249
8646,6895,1762
13558,14847,13810
13472,13457,5177
11713,11121,10498
13263,1510,5936
13378,14966,612
5289,16531,16567
7572,12624,7723
9117,1109,10716
12320,15119,9776
15644,13651,9925
4646,3000,16298
12,9681,12028
16593,6847,13515
16217,13851,12674
5420,11893,15862
9195,4046,13634
4511,5909,14109
7130,13416,3794
8057,5977,14141
11256,10922,3813
7550,16381,13667
6892,11663,1877
5215,513,5991
12077,7572,5973
6329,16376,12412
15434,15269,1356
3678,14209,12964
10298,2569,10923
4770,16359,352
6780,3187,5070
9921,6366,4604
8244,7946,8356
997,1086,6608
5869,16445,5144
11778,1862,14375
14454,7474,7714
5260,871,12452
9768,11869,14660
10882,1887,6253
4624,14610,6514
14729,6739,13170
8191,10636,8495
7713,15950,8243
9467,14444,5431
13961,1065,10055
16172,12403,4553
2447,14871,4492
13374,3548,569
4492,16255,2294
3811,15365,15309
5476,5821,11227
15067,1828,12180
1123,8626,16329
3369,8739,9402
7434,1916,16147
7062,9996,11588
16009,11168,12085
10601,6313,7797
15987,11762,5825
12249,5007,13485
2081,5204,12567
10411,9207,8460
7277,1701,10306
12737,13279,6870
2561,718,5506
14644,4173,11492
3136,6573,7380
8157,5740,6194
10633,5084,6011
721,11057,16637
1488,9096,5674
12860,10556,8678
5571,2845,9056
13047,11922,10688
4032,623,15058
11369,13549,9843
14094,6037,13352
3589,11241,13576
11487,8801,8645
10434,7262,6494
10118,14886,2809
12386,14825,12776
1629,15466,9784
6736,13310,16444
12469,6686,12073
14688,6,8625
9682,1576,9274
2059,9286,6884
14766,5461,15099
10049,8027,754
16767,2764,10648
536,6450,7106
12008,5443,9127
9009,15619,15665
1876,10402,6631
3691,3952,10947
15830,1857,12936
12580,3280,15280
16520,5870,5221
12919,10432,0
10896,12713,6657
3046,4114,5196
10830,490,12673
666,16123,12170
14602,277,3734
13168,14912,5916
766,13621,7507
572,1655,9805
48,14982,3027
12376,11184,7019
13939,14602,12800
7935,658,2811
13839,14905,6740
5736,11496,3901
13817,15723,7847
9873,10541,9047
13862,11836,16448
12285,12319,16107
2417,12798,16710
8953,11215,15535
16358,14429,5108
8505,12297,7745
794,8434,9000
10514,11171,12020
4017,8362,16831
14371,9876,5339
16685,652,12052
16399,4653,11102
1589,13695,6903
1000,738,4534
1185,1588,2612
1344,3667,2841
1725,12827,11399
2959,11660,14045
6437,3625,2905
13542,13565,8008
13501,8706,13129
6581,9599,5303
2728,10281,7473
6220,8837,5982
4306,5400,4557
3135,4254,15386
13754,417,14176
11690,2307,13984
14128,8332,8190
12575,16462,4091
10253,14338,12549
825,12019,14012
168,14628,11616
4803,15938,7887
12863,5053,13152
16055,3293,10253
3582,12181,12934
11040,8448,2465
16563,5588,11583
8460,6880,16180
10455,16202,16683
1333,3607,6171
4956,8318,12151
6804,1668,4780
10336,6737,11528
8868,9479,11989
1244,990,2546
15834,5843,1866
5086,11558,11505
209,498,12542
12978,13229,12793
12750,7470,14471
1537,1717,12164
36,11378,9726
5129,16121,15393
581,12777,9561
2216,9363,417
9008,8719,3891
5610,13224,14029
8239,1395,4017
10381,12669,11869
10211,15799,12519
7193,10239,2924
1300,13768,2699
15596,10102,5605
5223,975,2507
13198,12029,13006
13748,9408,3628
8113,9800,15664
5035,14038,10059
14982,8826,5468
2436,4027,549
5072,15224,10446
10379,9543,12859
7196,2485,6912
8589,8980,8266
13959,13679,9725
2341,2062,1252
16821,5031,8612
149,11031,14994
5093,8733,7555
6825,15856,5399
1615,808,10932
34,14501,14954
12004,13917,8685
226,15838,6765
6369,6893,5628
5435,13265,14396
543,10906,7378
14120,3742,10678
15039,16663,16082
15957,7941,7693
12962,4945,11812
11397,1558,4657
10753,6830,2296
12027,9540,12725
5219,16534,11053
11000,13137,15136
3665,3205,15648
15947,10463,10319
8231,13160,6529
16367,4291,13893
2329,9426,7287
12568,2607,15297
8161,14704,14453
15943,10536,7535
1454,16465,1961
7858,7951,13745
12625,16313,1465
11867,930,2125
10020,10660,4440
6317,2407,11695
13801,9510,4914
4551,9955,16822
8846,5027,13457
11963,6133,9694
5506,4398,2259
5446,12175,6122
15453,10444,15853
8458,12099,7075
3830,12459,8836
8176,2691,2853
230,5433,16607
7530,909,6330
10059,10316,3849
8567,12180,533
3085,9075,9364
10399,4827,11206
15051,11216,15942
9348,11272,8185
5951,8538,2234
14164,3576,4433
14920,1566,15877
10397,10363,14186
2211,5730,8974
7293,5685,6727
2726,9045,10560
8699,16176,14831
11055,6395,14676
5182,7122,9627
8947,11813,15256
1437,10962,11300
8067,6154,14484
14507,380,5931
7313,8578,15048
4368,13584,9073
7674,8800,12642
7084,276,13069
1501,14128,1395
11159,14445,14600
1108,4906,2314
10743,4592,15613
15738,10986,5609
15851,12587,3698
3622,10924,12240
8669,16237,15245
110,2095,1736
7112,16479,4680
3216,11778,5214
9134,12087,14267
318,8974,15289
14977,8989,2657
3415,15616,5624
15025,3547,396
882,1095,10257
2111,4892,15529
8181,14411,3562
5210,4835,276
902,7950,14411
9696,1336,12827
2475,7755,12131
15466,7383,8272
16441,11185,6275
16475,821,50
2523,7257,13725
10170,13920,244
15829,3537,11845
12792,9856,16500
4607,4585,9739
14427,7891,10241
10715,4967,1418
11894,13078,5236
5450,1407,4458
12439,1746,3879
13535,2403,3088
4988,15955,9847
373,14193,11336
3084,7766,13606
13640,2255,9459
5927,10081,959
12224,9081,891
6204,10454,13948
12272,2306,8944
13964,8852,14140
3785,10382,8636
11904,3130,2108
5657,15754,4781
2403,14528,2158
12652,2351,12799
1150,2455,9916
3715,8011,10682
7950,15376,16510
14296,14668,3120
6186,11546,5040
15562,11470,15240
10871,1180,5668
5593,6744,14295
4921,15066,4365
4928,9588,6752
16237,9236,8295
5310,10155,11324
13517,12162,10540
16725,8389,8513
2357,6356,10928
7856,6107,8876
8266,1820,2470
4235,3121,4774
11094,9467,2211
2185,3408,13366
13689,14733,7984
7784,11543,14194
77,10160,14104
10989,9139,1421
14587,10814,7957
3088,5635,4324
14574,15026,15023
7605,446,11950
2178,11274,4494
13968,15921,35
8795,3168,2463
14937,12382,7470
13769,11556,16245
10010,2336,15295
4534,5660,4029
12656,1800,10797
888,13879,11791
16114,14043,13345
1889,8031,9888
16169,4057,14591
4300,10091,14322
10603,11982,14187
295,16769,3104
6134,10300,1739
3941,10141,15269
1608,3975,4021
5781,12803,10431
4837,11670,4089
3057,15502,6455
9486,9769,11882
15296,14575,11057
14091,275,16464
4345,14685,8175
9306,1772,16733
10886,369,6856
4637,518,14274
15084,7158,15324
11418,9245,14839
7667,5501,2471
10337,11532,7163
4667,15606,12919
5331,4692,12607
15882,15765,8724
14025,9703,9021
1242,10480,12552
4981,16275,11911
11918,11953,863
6086,12677,9439
1633,12823,5677
2429,3132,16379
15640,8505,14070
2481,8905,10543
1548,2775,3841
7687,345,491
2281,5453,10116
2161,1300,2065
10052,9131,13693
3915,3784,325
583,11533,12264
5994,4926,11556
4346,2737,14615
14861,13653,5133
877,2112,6195
5561,12649,174
13613,609,16703
276,1062,13301
13809,214,10651
5695,16730,14631
14191,4496,16302
7932,8857,5492
16145,16819,13721
9037,11005,15201
10926,7327,2655
16619,16631,16311
9095,481,638
12688,9030,15693
9042,1773,16401
9795,13632,3869
15921,10512,11157
5455,2320,7127
1921,12678,6620
13096,6598,8901
8328,12772,1804
16168,11401,10101
14338,15708,1037
3969,10077,15261
457,2149,16566
2746,1824,9468
15954,11413,1745
3327,889,11793
15543,16266,2348
12471,13834,477
11973,5131,10049
10638,14112,14073
15552,4879,3204
10539,8181,763
13451,12893,11819
16779,2885,16458
4749,1217,8516
6800,5397,14362
15804,15463,3604
1267,14344,4074
2696,681,4150
1704,1019,1006
8608,2047,4135
7264,5892,6816
11582,6142,13030
2489,14017,12924
4307,8780,1326
16266,1626,6876
7538,1868,6374
13425,6576,13880
1888,2466,8716
9731,1237,6308
5706,12813,9853
10476,1262,14838
7808,6011,12432
53,2125,15175
3854,294,11262
687,10379,12993
13311,43,6259
3445,10628,11069
11060,10808,12499
3450,13335,9606
5731,898,3253
6601,9656,9729
8007,3747,337
14794,3381,14643
7766,14860,335
8052,763,4727
15192,6518,15246
6479,6198,5868
14929,9792,14016
13264,10973,13987
15176,15524,10960
497,15772,7790
3054,15095,8009
2931,5839,135
4022,2779,4898
13834,945,1225
9824,2710,16480
3169,16098,7206
4074,7253,12067
1690,13798,483
10826,3849,3406
7907,14152,12192
1572,11859,13308
13717,414,4930
11,8755,9813
4369,10242,4202
12394,8270,16736
16330,6065,1448
8008,13735,13430
16560,6583,4870
3844,9716,2916
8714,3936,4455
9891,5850,12596
2197,9655,1619
16526,8782,7754
6634,10745,10378
1493,9949,1818
8642,2325,11111
3490,15383,379
15349,7165,13682
16164,10079,10298
12083,6454,5950
10625,9278,15464
3850,4447,10941
3508,8481,13119
2145,16277,4973
4677,4022,11701
2389,11954,6442
46,9359,8293
6983,15480,2794
6572,10368,2486
10355,16553,15133
6857,108,1551
3531,2780,2104
6121,12399,14066
1232,11174,3774
1546,9134,4504
14351,9146,4641
917,14951,3941
8371,4904,12655
16025,6654,15803
12586,9044,3842
12023,7599,4394
12594,16789,8393
7318,2451,4867
15786,8139,12661
8780,1889,14635
14596,3145,9490
6384,9003,2567
7140,7311,9343
13144,5706,11641
8617,1961,3145
2865,15085,3151
2515,552,12508
1422,1093,6163
1561,8388,6054
7060,13551,3916
2685,10403,9852
6324,9589,13646
3514,14153,5900
14356,135,16344
4996,1435,6945
7955,11894,15059
13958,12590,1920
14103,2896,858
4808,14788,6023
10177,1960,1657
1978,11484,8367
2141,7933,6842
7027,1962,13657
474,13012,6047
1385,4905,5079
13129,13094,11595
9283,10999,4644
15963,1645,16652
10435,811,11065
12722,11212,14692
5637,13627,2786
16735,8912,14788
4720,68,12777
4086,177,15032
13871,8965,7625
13519,131,3914
13855,13156,8374
3883,35,7551
7906,6275,13051
883,2712,13593
11585,10416,10363
15911,6557,15379
4946,1385,11161
10899,6787,5841
8539,15253,727
16806,3019,6321
2832,2225,8193
9282,14606,9049
11484,15742,14718
5597,688,15222
10494,14745,2787
8698,1665,2532
8873,1617,1714
4024,4597,12752
1781,2743,12080
4407,14346,10329
6199,9160,11327
14385,6746,13897
12164,15585,2110
7737,16718,8590
8789,10399,1681
3032,955,1953
10876,7842,9383
5579,132,16600
8075,4308,12753
589,13548,10075
1753,14171,1912
16760,3736,16157
626,15512,7485
14664,4309,12604
16095,583,651
16615,4881,79
11084,4805,13312
4062,14511,14722
13949,2521,4994
9549,6311,8576
4935,15903,7990
4125,15663,3132
13345,16596,1113
10888,13233,4133
11590,12086,12424
12904,16757,15480
13340,14981,13160
12561,1509,4114
10063,13826,532
15687,8319,12178
14813,16601,16249
3948,11577,13054
4820,11832,16430
8430,7226,6486
13651,12445,8026
2812,7434,16392
11795,13096,4345
3999,9368,2142
952,7432,14790
9101,9473,175
16532,14024,11584
5402,6418,12879
204,13412,7716
1522,12868,10276
4210,16186,7464
5029,2449,12195
1126,14742,13866
7752,14492,7815
7182,4675,7504
15049,964,12910
619,8754,7548
15360,16525,8330
13037,15543,10864
608,7087,11156
949,1712,11474
9850,14187,14451
10303,8628,16751
682,11381,4906
9985,13101,12534
14926,6140,1042
14410,8113,15122
10744,11780,9038
13241,7287,7691
7010,3932,12117
3355,15327,9098
1808,6501,13857
1223,10267,2365
15908,1649,3312
9022,107,3159
13749,13070,14570
13285,6757,10372
1950,6035,2988
6116,9006,12609
4249,11664,15138
5639,7001,4835
12518,15758,12309
11950,202,6949
2293,6266,5692
11023,13590,4204
16471,1342,1506
11890,10110,10922
2860,6561,199
3396,1430,701
8786,12280,15690
4586,3149,2936
6487,16110,10039
10482,6983,102
3372,6593,6380
3485,3479,14336
11325,6816,15635
4930,5613,12159
15189,16154,13005
6747,695,3665
13628,11766,15435
15727,6828,465
5352,4925,2750
15111,15015,12305
4133,542,7831
15852,505,16254
4450,12514,1885
10953,9618,4560
11435,11176,7759
132,14158,7656
4479,12205,6707
658,6169,8526
8265,12670,12069
4099,7403,15344
9534,2913,13544
16766,7076,6105
7157,15568,2901
13232,2477,15097
14210,3303,15696
10559,7084,16327
12623,2150,12060
11947,16391,4520
8876,4087,9666
12535,5212,12970
722,5389,8180
11439,12372,11513
7686,2465,2520
905,8903,12701
14000,4062,2615
809,10019,16098
2831,10629,13148
7470,8387,2665
12215,13355,16781
16653,10204,16119
7910,14620,3504
10073,1486,15355
3227,1527,15173
5044,870,12310
6718,2985,15907
4425,8265,6046
2256,4900,1372
6085,15410,12563
4614,14508,5192
9903,12805,1324
362,14224,14919
1646,13726,16333
9297,10016,9067
2842,1628,14557
9623,4981,1644
1858,16493,7071
13923,14776,5406
5384,13139,13802
12318,14129,3826
2513,5900,4892
8431,16592,12346
717,1069,7959
7923,9181,1162
5355,6283,12303
11124,2850,12513
3518,16507,3896
4305,984,7536
3494,218,15305
3184,15706,1755
9413,3791,2831
15017,9184,16345
3153,16104,14289
610,10923,15511
1204,8543,12209
8240,8884,12469
866,3358,2109
1828,11258,6388
16112,14001,16614
15966,7206,4472
8931,4531,1440
6165,13347,11076
960,12221,2979
297,9819,7671
13540,13129,11506
9397,15184,16811
935,14693,8709
16510,8057,12925
9760,7495,6525
2340,1505,6314
11554,14727,3319
15422,8107,7680
2342,5160,15687
6924,2053,9435
13324,16706,5626
11399,8809,14285
3603,55,8900
15255,10722,10130
1719,9491,8799
8339,13440,864
9448,14473,8137
9406,9163,4825
6542,14443,25
9145,16832,9293
8835,5797,13521
10458,10841,10764
2657,13937,7408
12742,15477,15206
7045,10059,16409
7325,10990,13475
12506,8164,5063
16194,4607,2714
8106,7801,10567
15583,3208,6591
2789,545,13990
2169,15302,10890
9725,256,2492
7178,2734,11493
93,10129,12036
13750,13652,8848
13300,5166,7114
4082,6321,15868
5244,12301,9154
2684,8740,15180
4526,6789,14090
660,8247,15844
12929,9248,15493
2596,14139,2372
8937,7920,12759
2138,8566,866
11059,16494,13969
12102,8435,2297
448,4287,7915
14594,11424,5687
7845,2502,8360
13678,5403,16262
15272,5479,11409
6904,16439,11853
4629,64,9919
10522,638,11000
5624,982,12300
10205,6673,8642
5627,878,14147
1013,9662,6651
6149,605,13848
1354,9469,9903
10222,9714,8371
2757,8085,7395
1838,937,16476
7324,7423,14953
5519,3194,3533
10068,10165,9260
1208,6242,8441
1325,9861,5799
10340,6320,5892
12969,4343,15721
5886,15392,9461
3951,4515,13966
15865,6021,3110
12921,12685,4682
6862,4216,6447
1477,5184,10387
5126,5936,1217
9986,13460,12214
8564,16617,10412
11678,1433,1206
6205,12101,12634
4947,15006,1449
15050,6959,14046
1512,4370,5498
7160,14551,157
12416,9147,5545
4522,12468,6007
16447,11632,14094
1117,4617,13038
325,16361,6040
11500,5663,11424
12276,1032,523
13433,13246,6193
16128,6086,16829
6722,1239,10122
4351,13570,5926
11030,15396,16826
